trading_date,ticker,open,high,low,close,adj_close,volume
2020-06-30,IBOVESPA,95728.0,96257.0,94806.0,95056.0,95056.0,10144500
2020-07-01,IBOVESPA,95062.0,96852.0,95062.0,96203.0,96203.0,10163300
2020-07-02,IBOVESPA,96206.0,97864.0,96052.0,96235.0,96235.0,10062900
2020-07-03,IBOVESPA,96237.0,96765.0,95803.0,96765.0,96765.0,5351600
2020-07-06,IBOVESPA,96776.0,99257.0,96768.0,98937.0,98937.0,9489400
2020-07-07,IBOVESPA,98937.0,98938.0,97272.0,97761.0,97761.0,8951400
2020-07-08,IBOVESPA,97765.0,99973.0,97765.0,99770.0,99770.0,9142700
2020-07-09,IBOVESPA,99770.0,100191.0,98861.0,99160.0,99160.0,0
2020-07-10,IBOVESPA,99160.0,100101.0,98739.0,100032.0,100032.0,9147200
2020-07-13,IBOVESPA,100027.0,100858.0,98697.0,98697.0,98697.0,10382300
2020-07-14,IBOVESPA,98699.0,100632.0,98289.0,100440.0,100440.0,10019400
2020-07-15,IBOVESPA,100444.0,102114.0,100444.0,101791.0,101791.0,9285600
2020-07-16,IBOVESPA,101791.0,101792.0,100160.0,100553.0,100553.0,8127100
2020-07-17,IBOVESPA,100554.0,103017.0,100554.0,102888.0,102888.0,10429400
2020-07-20,IBOVESPA,102888.0,104439.0,102744.0,104426.0,104426.0,8931800
2020-07-21,IBOVESPA,104426.0,105449.0,103732.0,104310.0,104310.0,11105800
2020-07-22,IBOVESPA,104312.0,104980.0,103277.0,104290.0,104290.0,10833700
2020-07-23,IBOVESPA,104291.0,104949.0,102119.0,102293.0,102293.0,10366600
2020-07-24,IBOVESPA,102292.0,102694.0,100859.0,102382.0,102382.0,9795200
2020-07-27,IBOVESPA,102381.0,104585.0,102381.0,104477.0,104477.0,9622400
2020-07-28,IBOVESPA,104477.0,104663.0,103592.0,104109.0,104109.0,9087100
2020-07-29,IBOVESPA,104112.0,105704.0,104112.0,105605.0,105605.0,9238300
2020-07-30,IBOVESPA,105605.0,105607.0,103920.0,105009.0,105009.0,9591700
2020-07-31,IBOVESPA,105010.0,105462.0,102642.0,102912.0,102912.0,12929300
2020-08-03,IBOVESPA,102913.0,103863.0,102304.0,102830.0,102830.0,10901000
2020-08-04,IBOVESPA,102826.0,103012.0,100005.0,101216.0,101216.0,12029800
2020-08-05,IBOVESPA,101220.0,103763.0,101220.0,102802.0,102802.0,10922100
2020-08-06,IBOVESPA,102733.0,104523.0,102733.0,104126.0,104126.0,9686600
2020-08-07,IBOVESPA,104116.0,104126.0,101957.0,102776.0,102776.0,10337100
2020-08-10,IBOVESPA,102776.0,103722.0,101282.0,103444.0,103444.0,8259500
2020-08-11,IBOVESPA,103449.0,104409.0,102174.0,102174.0,102174.0,9360900
2020-08-12,IBOVESPA,102176.0,103116.0,100698.0,102118.0,102118.0,10114200
2020-08-13,IBOVESPA,102118.0,103237.0,100187.0,100461.0,100461.0,10721300
2020-08-14,IBOVESPA,100469.0,101717.0,100445.0,101353.0,101353.0,8576300
2020-08-17,IBOVESPA,101348.0,101689.0,98513.0,99595.0,99595.0,10816200
2020-08-18,IBOVESPA,99597.0,102247.0,99597.0,102065.0,102065.0,9418700
2020-08-19,IBOVESPA,102072.0,102334.0,100800.0,100854.0,100854.0,10025800
2020-08-20,IBOVESPA,100853.0,101749.0,99131.0,101468.0,101468.0,9405000
2020-08-21,IBOVESPA,101460.0,101566.0,100412.0,101521.0,101521.0,9100200
2020-08-24,IBOVESPA,101525.0,102515.0,101525.0,102298.0,102298.0,7723000
2020-08-25,IBOVESPA,102293.0,102708.0,101623.0,102118.0,102118.0,8170900
2020-08-26,IBOVESPA,102119.0,102521.0,99359.0,100627.0,100627.0,9861200
